Date, t (s), lat, lng, X Acceleration (m/s²), Y Acceleration (m/s²), Z Acceleration (m/s²), Acceleration Magnitude (m/s²), Speed (m/s)
02/10/2021 21:02:08.999, 0.000, 40.43103, -86.91545, 5.209783, -6.512229, 5.784391, 0.342741, 187.400526
02/10/2021 21:02:09.049, 0.050, 40.43103, -86.91545, 4.750096, -6.473921, 5.401319, -0.129392, 187.393123
02/10/2021 21:02:09.099, 0.100, 40.43103, -86.91545, 4.941632, -6.397307, 5.784391, 0.133393, 187.402174
02/10/2021 21:02:09.149, 0.150, 40.43103, -86.91545, 5.094861, -6.550536, 5.822698, 0.330950, 187.418051
02/10/2021 21:02:09.199, 0.200, 40.43103, -86.91545, 4.711789, -6.550536, 5.746084, 0.099306, 187.423807
02/10/2021 21:02:09.249, 0.250, 40.43103, -86.91545, 4.979939, -6.473921, 5.669470, 0.135901, 187.433114
02/10/2021 21:02:09.299, 0.300, 40.43103, -86.91545, 4.635174, -6.665457, 5.822698, 0.184195, 187.442099
02/10/2021 21:02:09.349, 0.350, 40.43103, -86.91545, 4.903325, -6.512229, 5.707777, 0.144753, 187.450485
02/10/2021 21:02:09.399, 0.400, 40.43103, -86.91545, 4.826711, -6.359000, 5.707777, 0.007255, 187.450976
02/10/2021 21:02:09.449, 0.450, 40.43103, -86.91545, 4.788403, -6.665457, 5.631162, 0.146597, 187.457986
02/10/2021 21:02:09.499, 0.500, 40.43103, -86.91545, 4.941632, -6.320692, 5.592855, -0.026522, 187.456436
02/10/2021 21:02:09.549, 0.550, 40.43103, -86.91545, 4.865018, -6.512229, 5.861006, 0.214772, 187.471051
02/10/2021 21:02:09.599, 0.600, 40.43103, -86.91545, 5.094861, -6.703765, 5.822698, 0.430629, 187.491978
02/10/2021 21:02:09.649, 0.650, 40.43103, -86.91545, 4.826711, -6.473921, 5.707777, 0.082107, 187.496733
02/10/2021 21:02:09.699, 0.700, 40.43103, -86.91545, 5.094861, -6.550536, 5.669470, 0.243723, 187.513280
02/10/2021 21:02:09.749, 0.750, 40.43103, -86.91545, 4.865018, -6.550536, 5.861006, 0.239708, 187.524699
02/10/2021 21:02:09.799, 0.800, 40.43103, -86.91545, 4.865018, -6.359000, 5.669470, 0.003964, 187.524930
02/10/2021 21:02:09.849, 0.850, 40.43103, -86.91545, 4.941632, -6.665457, 5.707777, 0.264435, 187.542969
02/10/2021 21:02:09.899, 0.900, 40.43103, -86.91545, 4.979939, -6.550536, 5.631162, 0.164273, 187.550796
02/10/2021 21:02:09.949, 0.950, 40.43103, -86.91545, 4.941632, -6.473921, 5.592855, 0.073199, 187.555037
02/10/2021 21:02:09.999, 1.000, 40.43103, -86.91545, 4.903325, -6.435614, 5.861006, 0.183901, 187.567477
02/10/2021 21:02:10.049, 1.050, 40.43103, -86.91545, 4.979939, -6.627150, 5.784391, 0.301668, 187.582058
02/10/2021 21:02:10.099, 1.100, 40.43103, -86.91545, 4.941632, -6.359000, 5.784391, 0.108782, 187.588376
02/10/2021 21:02:10.149, 1.150, 40.43103, -86.91545, 5.018247, -6.473921, 5.707777, 0.176996, 187.600357
02/10/2021 21:02:10.199, 1.200, 40.43103, -86.91545, 5.056554, -6.397307, 5.592855, 0.081439, 187.604239
02/10/2021 21:02:10.249, 1.250, 40.43103, -86.91545, 4.941632, -6.550536, 5.784391, 0.232693, 187.617729
02/10/2021 21:02:10.299, 1.300, 40.43103, -86.91545, 4.865018, -6.512229, 5.822698, 0.192416, 187.630874
02/10/2021 21:02:10.349, 1.350, 40.43103, -86.91545, 5.094861, -6.588843, 5.784391, 0.333845, 187.646742
02/10/2021 21:02:10.399, 1.400, 40.43103, -86.91545, 4.865018, -6.320692, 5.899313, 0.114108, 187.653356
02/10/2021 21:02:10.449, 1.450, 40.43103, -86.91545, 4.788403, -6.282385, 5.516241, -0.172021, 187.641595
02/10/2021 21:02:10.499, 1.500, 40.43103, -86.91545, 5.018247, -6.359000, 5.861006, 0.191903, 187.650676
02/10/2021 21:02:10.549, 1.550, 40.43103, -86.91545, 4.979939, -6.320692, 5.592855, -0.007110, 187.650264
02/10/2021 21:02:10.599, 1.600, 40.43103, -86.91545, 4.826711, -6.512229, 5.631162, 0.063317, 187.654560
02/10/2021 21:02:10.649, 1.650, 40.43103, -86.91545, 4.711789, -6.397307, 5.707777, -0.023746, 187.653429
02/10/2021 21:02:10.699, 1.700, 40.43103, -86.91545, 4.979939, -6.205771, 5.746084, 0.008077, 187.653895
02/10/2021 21:02:10.749, 1.750, 40.43103, -86.91545, 4.865018, -6.435614, 5.516241, -0.033501, 187.651623
02/10/2021 21:02:10.799, 1.800, 40.43103, -86.91545, 5.018247, -6.435614, 5.822698, 0.218506, 187.662002
02/10/2021 21:02:10.849, 1.850, 40.43103, -86.91545, 4.903325, -6.473921, 5.822698, 0.186251, 187.672920
02/10/2021 21:02:10.899, 1.900, 40.43103, -86.91545, 4.979939, -6.359000, 5.669470, 0.061458, 187.677079
02/10/2021 21:02:10.949, 1.950, 40.43103, -86.91545, 4.865018, -6.512229, 5.363012, -0.068097, 187.673844
